Input,Output
to be friends again?  <sep> No. I am too embarassed to reach out to her after all these years.,I get it.. but you know life really is too short.. i think you should try to reach out! Do it! :) 
So I found something out the other night that made me extremely upset! ,What happened?!
So I found something out the other night that made me extremely upset!  <sep> What happened?!,My child went out behind my back_comma_ and snuck out! 
made me extremely upset!  <sep> What happened?! <sep> My child went out behind my back_comma_ and snuck out! ,Oh no. Guess they have finally reached that rebellious age. What did you do?
So I just saw how they are going to have a remake of Fist of Fury.,I have no idea what that is.
how they are going to have a remake of Fist of Fury. <sep> I have no idea what that is.,It is a old movie that came out in the 80s. I remember seeing it as a kid!
is. <sep> It is a old movie that came out in the 80s. I remember seeing it as a kid!,Oh is it and action movie.
that came out in the 80s. I remember seeing it as a kid! <sep> Oh is it and action movie.,Yeah it is a old black and white Karate movie
One time there was a large mouse in my kitchen.,What did you do with it? Did you try to kill it?
was a large mouse in my kitchen. <sep> What did you do with it? Did you try to kill it?,I closed the door and put a towel under it. IT was late so i couldn't call maintenence til thehmorning.
I closed the door and put a towel under it. IT was late so i couldn't call maintenence til thehmorning.,Thats what I would have done. Did they get it taken care of?
i couldn't call maintenence til thehmorning. <sep> Thats what I would have done. Did they get it taken care of?,Yes. He had chewed a hole under my sink so they boaded it up and put down traps.
I think our job might be laying us off. ,O No! Are they going to offer you any kind of package?
job might be laying us off.  <sep> O No! Are they going to offer you any kind of package?,Doubtful honestly.. they dont seem to care very much. :/
they going to offer you any kind of package? <sep> Doubtful honestly.. they dont seem to care very much. :/,Im sorry to hear that. Maybe you should contact your HR and see what your options are
So after a year of being here we finally got to rearrange the garage.,How is it looking? 
So after a year of being here we finally got to rearrange the garage. <sep> How is it looking? ,I think we will be able to get two cars in here now!
<sep> How is it looking?  <sep> I think we will be able to get two cars in here now!,There you go! Thats awesome.. i really wish we had a garage. lol lucky!
So my cat of 10 years past away last night. I dont know what to do,oh no. I'm sorry to hear that.
10 years past away last night. I dont know what to do <sep> oh no. I'm sorry to hear that.,He is really old but I hate that it happened you know?
oh no. I'm sorry to hear that. <sep> He is really old but I hate that it happened you know?,OF course. Pets are family.
I like to give to charity.,What charities do you like to give too
I like to give to charity. <sep> What charities do you like to give too,Whatever my local pharmacy is giving to at the time. I donate my change since I shop there a lot. It adds up.
pharmacy is giving to at the time. I donate my change since I shop there a lot. It adds up.,That is a very nice thing to do_comma_ I wish I could do more to help.
It adds up. <sep> That is a very nice thing to do_comma_ I wish I could do more to help.,Every litlle bit counts. Eventually I will be able to write a check.
I could do more to help. <sep> Every litlle bit counts. Eventually I will be able to write a check.,I just put all my change in a giant bottle.
So I lost my wallet and had to get a new ID issued to me.,I hope someone turns it in soon to you.. did you lose out on money too? 
to me. <sep> I hope someone turns it in soon to you.. did you lose out on money too? ,I usually dont have much cash on me but the cards are hard to replace.
on money too?  <sep> I usually dont have much cash on me but the cards are hard to replace.,Yeah a real pain honestly... im sorry that happened to you. :/ 
Im going to my first concert this weekend. Yesssssss! ,Did you buy tickets or win them?
Im going to my first concert this weekend. Yesssssss!  <sep> Did you buy tickets or win them?,I bought them_comma_ woulda been cool to win them though right? lol 
you buy tickets or win them? <sep> I bought them_comma_ woulda been cool to win them though right? lol ,Yeah
When the Falcons won the game I was excited.,What game did they win?
When the Falcons won the game I was excited. <sep> What game did they win?,The NFC championship.
When the Falcons won the game I was excited. <sep> What game did they win? <sep> The NFC championship.,Really? I don't recall that at all. I remember them choking. I could be wrong.
There was a big storm here last week.,That sucks. Are you ok?
There was a big storm here last week. <sep> That sucks. Are you ok?,The power went out for about 15 and scared the crap out of me_comma_ but other than that we were fine.
power went out for about 15 and scared the crap out of me_comma_ but other than that we were fine.,Thats good. Did the clocks all reset?
the crap out of me_comma_ but other than that we were fine. <sep> Thats good. Did the clocks all reset?,The ones I have back ups so they never went out.
I was impressed with the new Tesla that I test drove.,I bet that was rather fun_comma_ how fast did you get it going? 
Tesla that I test drove. <sep> I bet that was rather fun_comma_ how fast did you get it going? ,Over 100mph.
test drove. <sep> I bet that was rather fun_comma_ how fast did you get it going?  <sep> Over 100mph.,Wow! You are crazy_comma_ ha ha - i probably would have had a panic attack at 90MPH. :p
I managed to change the oil in my car on my own without breaking anything...,Thats great.I  change my oil all the time.
oil in my car on my own without breaking anything... <sep> Thats great.I  change my oil all the time.,I havent changed my oil in years since my dad taught me so... it was an achievement for sure. 
I havent changed my oil in years since my dad taught me so... it was an achievement for sure. ,Yes my dad taught me also.
I should really try to get a girlfriend or something. I just need to feel someone.,Try online dating! Its actually really fun... have you tried it? 
something. I just need to feel someone. <sep> Try online dating! Its actually really fun... have you tried it? ,Yeah I just feel like it is no use. 
Its actually really fun... have you tried it?  <sep> Yeah I just feel like it is no use. ,Dont feel that way... theres someone out there for everyone. Give it a try. :) 
no use.  <sep> Dont feel that way... theres someone out there for everyone. Give it a try. :) ,OK I geuss I can try to apply myself more.
The other day during breakfast my daughter started choking and I panicked. ,Were you able to get her help in time! How is she doing?
started choking and I panicked.  <sep> Were you able to get her help in time! How is she doing?,Yeah I was able to get the food unlodged but wow it was super scary. Shes okay now thanks! 
Yeah I was able to get the food unlodged but wow it was super scary. Shes okay now thanks! ,That is good to hear! Yeah situations like that can be really alarming.
It was for science but I had notes i had brought.,Thats not right. How did you feel?
It was for science but I had notes i had brought. <sep> Thats not right. How did you feel?,No we are allowed to bring notes it was just a surprise test. I felt happy about being able to bring mine.
are allowed to bring notes it was just a surprise test. I felt happy about being able to bring mine.,That's good. How did you do?
just a surprise test. I felt happy about being able to bring mine. <sep> That's good. How did you do?,I got a A! the highest score in the class.
My grandma died. I am so sad.,Im sorry to hear that. Was it from age or complications?
My grandma died. I am so sad. <sep> Im sorry to hear that. Was it from age or complications?,Age but she also smoked.
so sad. <sep> Im sorry to hear that. Was it from age or complications? <sep> Age but she also smoked.,Yeah that is not good. But everyone does have a time to go you know?
I use to hate the dark when I was little.,were you afraid of the dark?
I use to hate the dark when I was little. <sep> were you afraid of the dark?,Yes. I had a nightlight to help.
dark when I was little. <sep> were you afraid of the dark? <sep> Yes. I had a nightlight to help.,i slept in my mom's room because i was always afraid of the dark
had a nightlight to help. <sep> i slept in my mom's room because i was always afraid of the dark,I was. I use to have a nightlight to help.
So I was at cheeleading last night and this girl did a double backflip!,Did she land?
So I was at cheeleading last night and this girl did a double backflip! <sep> Did she land?,Yeah! It was just really fast and she went up really high!
a double backflip! <sep> Did she land? <sep> Yeah! It was just really fast and she went up really high!,Sweet. Did the crowd cheer?
land? <sep> Yeah! It was just really fast and she went up really high! <sep> Sweet. Did the crowd cheer?,Everyone got on there feet and clapped for her. She had to be only 10 or so.
I got into Harvard. Can you believe it?,Wow that is great! When are you going to start?
I got into Harvard. Can you believe it? <sep> Wow that is great! When are you going to start?,In the Fall.
Harvard. Can you believe it? <sep> Wow that is great! When are you going to start? <sep> In the Fall.,That is really great! How does that make you feel?
it annoys me that my wife keeps giving our son a stick even though he hurts himself every single time,Why don't you say something?
keeps giving our son a stick even though he hurts himself every single time <sep> Why don't you say something?,i did_comma_ she calls me a helicopter parent and just laughs at me
<sep> Why don't you say something? <sep> i did_comma_ she calls me a helicopter parent and just laughs at me,That isn't nice.
I am afraid of clowns.,oh gosh_comma_ me too!! especially the clown from the movie IT
I am afraid of clowns. <sep> oh gosh_comma_ me too!! especially the clown from the movie IT,Yes I saw that movie and cried.
<sep> oh gosh_comma_ me too!! especially the clown from the movie IT <sep> Yes I saw that movie and cried.,i slept with a light on for a couple of night lol
I took a trip over the weekend where we stayed at a nice hotel with a balcony overlooking the pool.,That sounds really nice! Did you stay near the ocean?
a nice hotel with a balcony overlooking the pool. <sep> That sounds really nice! Did you stay near the ocean?,Yes in Biloxi. The balcony had a downside though. The seagulls would always try to steal your food. 
<sep> Yes in Biloxi. The balcony had a downside though. The seagulls would always try to steal your food. ,I remember throwing food over and watching them catch it as a kid.
try to steal your food.  <sep> I remember throwing food over and watching them catch it as a kid.,There were like 5 of them trying to steal my crackers. I was scared.
When I got in my car to go to work I notcied a note on my seat.,What did it say?
got in my car to go to work I notcied a note on my seat. <sep> What did it say?,It was from my 7 year old son_comma_ He wanted to tell me he loved me and wished he could come work with me_comma_
7 year old son_comma_ He wanted to tell me he loved me and wished he could come work with me_comma_,That is so sweet. Give him twenty dollars. 
loved me and wished he could come work with me_comma_ <sep> That is so sweet. Give him twenty dollars. ,I think I am going to take him out for icecream.
is so sweet. Give him twenty dollars.  <sep> I think I am going to take him out for icecream.,I bet he would love that.
I cheated on a test. I am very ashamed.,oh no :( maybe you should confess and i'm sure you will feel better
test. I am very ashamed. <sep> oh no :( maybe you should confess and i'm sure you will feel better,I would but I will get in trouble.
maybe you should confess and i'm sure you will feel better <sep> I would but I will get in trouble.,i understand. maybe next time you shouldn't cheay
I miss my family members as they all pretty much gone now...,Sorry to hear that.
I miss my family members as they all pretty much gone now... <sep> Sorry to hear that.,Yeah_comma_ as you get older you have to face the fact of loved ones not being around forever.
that. <sep> Yeah_comma_ as you get older you have to face the fact of loved ones not being around forever.,Yes. I have lost my grandma.
you have to face the fact of loved ones not being around forever. <sep> Yes. I have lost my grandma.,My condolences to you...I hope you have wonderful memories of her!
I almost died last year.,That is a terrible thing to happen_comma_ I'm sure...
I almost died last year. <sep> That is a terrible thing to happen_comma_ I'm sure...,Yes I was very lucky.
almost died last year. <sep> That is a terrible thing to happen_comma_ I'm sure... <sep> Yes I was very lucky.,I'm happy that you are still here as well! Think of the alternative :(
Went for a dip at the pool late one night on vacation.,Nice_comma_ how was the water.
Went for a dip at the pool late one night on vacation. <sep> Nice_comma_ how was the water.,It was a heated ppol so that was nice. But when I jumped in some of may hair extension came out!
was a heated ppol so that was nice. But when I jumped in some of may hair extension came out!,Thats funny. Did you get them all?
But when I jumped in some of may hair extension came out! <sep> Thats funny. Did you get them all?,Yes luckily no one else was there.
I am afraid of ghosts.,Mw too. I don't even llike when it's too dark inside or outside.
I am afraid of ghosts. <sep> Mw too. I don't even llike when it's too dark inside or outside.,I hope I never meet a ghost.
too. I don't even llike when it's too dark inside or outside. <sep> I hope I never meet a ghost.,Maybe we are ghosts.
I always am prepared for hurricanes.,I live in Texas_comma_ We really dont have to worry about them here.
I always am prepared for hurricanes. <sep> I live in Texas_comma_ We really dont have to worry about them here.,I love Texas.
for hurricanes. <sep> I live in Texas_comma_ We really dont have to worry about them here. <sep> I love Texas.,Texas is a great place! But I can understand the need to want to be prepared.
So i got a huge bonus at work last week!,How much?
So i got a huge bonus at work last week! <sep> How much?,It was enough that I was able to pay off my car and a lot of bills.
How much? <sep> It was enough that I was able to pay off my car and a lot of bills.,Cool. What kind of car.
that I was able to pay off my car and a lot of bills. <sep> Cool. What kind of car.,It was a 84 Mustang.
My apartment is right near the dumpster for our commplex.,That is terrible_comma_ does it smell?
My apartment is right near the dumpster for our commplex. <sep> That is terrible_comma_ does it smell?,no. That's not the problem. Sometimes people leave their trash on the outside and then there are a lot of raccoons out there at night.
Sometimes people leave their trash on the outside and then there are a lot of raccoons out there at night.,You should tell someone.
on the outside and then there are a lot of raccoons out there at night. <sep> You should tell someone.,I have for 5 years. Everyone should just move awawy and I live here alone lol.
I hope I win the lottery this week.,I think it's my turn to win the lottery
I hope I win the lottery this week. <sep> I think it's my turn to win the lottery,Maybe we can split it if we win.
week. <sep> I think it's my turn to win the lottery <sep> Maybe we can split it if we win.,Sure_comma_ That's sounds like a real plan. lol
My friend is so annoying.,what did he do?
My friend is so annoying. <sep> what did he do?,He just talks too much.
My friend is so annoying. <sep> what did he do? <sep> He just talks too much.,yes_comma_ i can see how it can bbe annoying
I was so happy when my son was born.,awww. don't tell anyone but my son is my favorite child. I have two girls also.
son was born. <sep> awww. don't tell anyone but my son is my favorite child. I have two girls also.,I won't tell anyone.
don't tell anyone but my son is my favorite child. I have two girls also. <sep> I won't tell anyone.,How old is your son now?
Halloween can't get here quick enough.,I love Halloween.
Halloween can't get here quick enough. <sep> I love Halloween.,It is my favorite. I love dressing up with my kids and eating all of their candy.
love Halloween. <sep> It is my favorite. I love dressing up with my kids and eating all of their candy.,I love candy.
So I went to pick up Lucy last night for our date. I was very polite and nice.,Where did you meet her?
pick up Lucy last night for our date. I was very polite and nice. <sep> Where did you meet her?,We meet online on a dating site. I was nervous but I did not let it show and took charge.
We meet online on a dating site. I was nervous but I did not let it show and took charge.,Thats cool. Will you see her again?
was nervous but I did not let it show and took charge. <sep> Thats cool. Will you see her again?,We have plans to go out next week!
I am so happy I graduated college.,I bet! It has to feel like a huge accomplishment.
I am so happy I graduated college. <sep> I bet! It has to feel like a huge accomplishment.,Yes and I had a 4.0
graduated college. <sep> I bet! It has to feel like a huge accomplishment. <sep> Yes and I had a 4.0,I did not know you had a 4.0! How do your parents feel about that.
Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion.,Nice. Did you take it?
Thought I was getting bad news but turns out I was offered a promotion. <sep> Nice. Did you take it?,I definitely did!
bad news but turns out I was offered a promotion. <sep> Nice. Did you take it? <sep> I definitely did!,Nice did you take it?
I have studied and am sure I will pass the test.,Good luck! Do your best. you sound well prepapred.
have studied and am sure I will pass the test. <sep> Good luck! Do your best. you sound well prepapred.,I expect an A.
I will pass the test. <sep> Good luck! Do your best. you sound well prepapred. <sep> I expect an A.,I hope you get it!
How about our president huh?,I'm not actually in America so I don't share the same joy as you :p
about our president huh? <sep> I'm not actually in America so I don't share the same joy as you :p,Lol. There is no joy here. But I think the only way to go is up now.
you :p <sep> Lol. There is no joy here. But I think the only way to go is up now.,That's always the positive side of hitting rock bottom right?
I let my new neighbors borrow our lawnmower. It came back broken.,That's terrible. Do you think they'll take care of it>
new neighbors borrow our lawnmower. It came back broken. <sep> That's terrible. Do you think they'll take care of it>,No. They went pretty quiet.
came back broken. <sep> That's terrible. Do you think they'll take care of it> <sep> No. They went pretty quiet.,Hope you don't end up in court.
My daughter is being so lazy this summer.,I think that's the usual for kids. How old is she
My daughter is being so lazy this summer. <sep> I think that's the usual for kids. How old is she,13. I ate her dinner yesterday because she just refused to get up. I feel bad about it now
<sep> 13. I ate her dinner yesterday because she just refused to get up. I feel bad about it now,That's kind of funny though. How did she react?
refused to get up. I feel bad about it now <sep> That's kind of funny though. How did she react?,she went to bed lo
I lied to the police. I am ashamed.,You should never lie to them. What did you say?
I lied to the police. I am ashamed. <sep> You should never lie to them. What did you say?,I said I did not know where my friend was.
should never lie to them. What did you say? <sep> I said I did not know where my friend was.,Did your friend do something bad? Why were they looking for them
I got tickets to go to the Amusment park this weekend.,Nice. Which one?
I got tickets to go to the Amusment park this weekend. <sep> Nice. Which one?,Well they have one near my job. My son a Jack really wants to go so I am taking him.
Well they have one near my job. My son a Jack really wants to go so I am taking him.,That should be fun.
my job. My son a Jack really wants to go so I am taking him. <sep> That should be fun.,Yeah he has been talking about it all week long!
Went to the beach the other day and remember how much my friend liked going together.,oh_comma_ did you enjoy it? I love going to the beach
remember how much my friend liked going together. <sep> oh_comma_ did you enjoy it? I love going to the beach,Yea. I enjoyed it alot. That's why it made me think of my buddy.
love going to the beach <sep> Yea. I enjoyed it alot. That's why it made me think of my buddy.,you miss your buddy_comma_ huh
Don't you hate when you order food and it is terrible.,I do. Makes me angry.
Don't you hate when you order food and it is terrible. <sep> I do. Makes me angry.,We ordered Krystals on a road trip and couldn't even take it back because it would have cost too much time on the road. I was so upset.
couldn't even take it back because it would have cost too much time on the road. I was so upset.,I do not like Krystals.
it would have cost too much time on the road. I was so upset. <sep> I do not like Krystals.,I don't anymore.
I tried to catch a criminal but he got away.,Did he have a weapon?
I tried to catch a criminal but he got away. <sep> Did he have a weapon?,Yes but only a small knife.
catch a criminal but he got away. <sep> Did he have a weapon? <sep> Yes but only a small knife.,What were you gonna do if you caught him?
I forget the lines in the school play. I was so embarrassed.,Oh no! Were there a lot of lines you had to remember?
the school play. I was so embarrassed. <sep> Oh no! Were there a lot of lines you had to remember?,Yes. I was the main character.
<sep> Oh no! Were there a lot of lines you had to remember? <sep> Yes. I was the main character.,Oh wow_comma_ thats impressive but I don't blame you for forgetting lines then since there were probably tons.
I got stock from family a long time ago. I just let it sit there. It's risen 10 times since.,Wow! Have you looked to see how much it is worth? You could have some money.
10 times since. <sep> Wow! Have you looked to see how much it is worth? You could have some money.,It's enough to pay 1 year's worth of mortgage. Wondering if I should sell it or hold now.
money. <sep> It's enough to pay 1 year's worth of mortgage. Wondering if I should sell it or hold now.,You might want to talk to a financial adviser about it.
So last night at work I lost my keys_comma_ I search the office for like 30 minutes.,Did you find it?
night at work I lost my keys_comma_ I search the office for like 30 minutes. <sep> Did you find it?,I did but the entire office was watching me the whole time. I hated looking stupid like that.
it? <sep> I did but the entire office was watching me the whole time. I hated looking stupid like that.,I'm sure everyone has lost something. They're just probably glad it wasn't them.
I hated looking stupid like that. <sep> I'm sure everyone has lost something. They're just probably glad it wasn't them.,Yeah i guess it was still very annoying. I think some people laughed at me.
I just applied for a promotion_comma_ and I should earn at least 10k more.,That's awesome. Do you think you will get it?
a promotion_comma_ and I should earn at least 10k more. <sep> That's awesome. Do you think you will get it?,I hope so! It will help finances a lot.
<sep> That's awesome. Do you think you will get it? <sep> I hope so! It will help finances a lot.,Yes_comma_ definitely. Do you plan on buying anything new?
Last time I was at my parent's house I went through some old photo albums and started reminiscing.,What did you think about?
at my parent's house I went through some old photo albums and started reminiscing. <sep> What did you think about?,I just thought about how easy and carefree life was when I was a child. I was never alone and always had something to do.
easy and carefree life was when I was a child. I was never alone and always had something to do.,glad to hear you had such a carefree childhood. do you have siblings?
and always had something to do. <sep> glad to hear you had such a carefree childhood. do you have siblings?,I have younger brothers that are 7 years younger than I am so I was an only child for awhile.
My cousin just got out of a 7 year relationship. Turns out she was cheating for the last 3 years.,That's terrible. Wh don't people just leave insteading of hurting their partner. I don't get it.
last 3 years. <sep> That's terrible. Wh don't people just leave insteading of hurting their partner. I don't get it.,I don't get it either. I hope he can move on.
of hurting their partner. I don't get it. <sep> I don't get it either. I hope he can move on.,ME too. She wasn't the right one obviously. Sucks to have put in so much time though
Do you watch game of thrones?,I watched the first season.
Do you watch game of thrones? <sep> I watched the first season.,I love that show. I'm sad it is ending. It should stay on forever.
I watched the first season. <sep> I love that show. I'm sad it is ending. It should stay on forever.,What? It's ending? I heard he hasn't yet finished the books.
it is ending. It should stay on forever. <sep> What? It's ending? I heard he hasn't yet finished the books.,Nest season is the last. I was hoping it would last forever like the simpsons.
I have had enogh of this summer heat. Cmon autumn!,I agree. I love autumn.
I have had enogh of this summer heat. Cmon autumn! <sep> I agree. I love autumn.,It gets do hot in memphis. My daughter is ready for school to start back anyway_comma_
I love autumn. <sep> It gets do hot in memphis. My daughter is ready for school to start back anyway_comma_,I love Memphis.
It gets do hot in memphis. My daughter is ready for school to start back anyway_comma_ <sep> I love Memphis.,Me too! Been here all of my life.
I was content with a B on my exam.,It is a passing grade. I would be fine with it.
was content with a B on my exam. <sep> It is a passing grade. I would be fine with it.,Yes I studied hard to pass.
exam. <sep> It is a passing grade. I would be fine with it. <sep> Yes I studied hard to pass.,A guess an A would've been nice then since you worked so hard.
We have a work presentation coming up soon. I think we've got everything to present.,That's good. Preperation is the first step in having a good presentation.
I think we've got everything to present. <sep> That's good. Preperation is the first step in having a good presentation.,Yea. I hope we didn't miss anything. We spent a lot of time on it.
having a good presentation. <sep> Yea. I hope we didn't miss anything. We spent a lot of time on it.,Fingers crossed_comma_ I hope the presentation goes well.
I'm very excited to take a vacation with my wife. We've been wanting to stay in a cabin for awhile.,That's exciting! Cabin sounds really cozy.
with my wife. We've been wanting to stay in a cabin for awhile. <sep> That's exciting! Cabin sounds really cozy.,Yeah_comma_ we haven't gone on a romantic vacation in over a year_comma_ so I'm really looking foward to it.
<sep> Yeah_comma_ we haven't gone on a romantic vacation in over a year_comma_ so I'm really looking foward to it.,She's a lucky lady!
girl one time on Tinder and I totally thought we had great chemistry_comma_ but then she completely ghosted me after.,That's the worst_comma_ I know how that feels_comma_ I'm kind of being ghosted right now myself.
ghosted me after. <sep> That's the worst_comma_ I know how that feels_comma_ I'm kind of being ghosted right now myself.,Aw that's awful_comma_ I wouldn't wish that on anybody. She was laughing and all smiley and everything_comma_ I can't imagine why she ghosted me.
wouldn't wish that on anybody. She was laughing and all smiley and everything_comma_ I can't imagine why she ghosted me.,Just remember that means it was most likely for the best that she did ghost you_comma_ you wouldn't want to be with someone like that anyways.
I see my friends on FB posting photos from my hometown I always start to miss it a little. ,Awww. Do you ever go back and visit?
my hometown I always start to miss it a little.  <sep> Awww. Do you ever go back and visit?,I havent been back yet but maybe I will in the winter so I can experience the snow again. 
I havent been back yet but maybe I will in the winter so I can experience the snow again. ,Where is rou hometown?
My friend is having a drink and paint party for her birthday tomorrow.,I bet you are excited... are you bringing anything over with you? 
paint party for her birthday tomorrow. <sep> I bet you are excited... are you bringing anything over with you? ,A bottle of moscato. She likes that.
bet you are excited... are you bringing anything over with you?  <sep> A bottle of moscato. She likes that.,Sounds yummy! Thats a good choice. Have a great time. 
<sep> A bottle of moscato. She likes that. <sep> Sounds yummy! Thats a good choice. Have a great time. ,We will.
I wish I was The Rock.,What kind of rock would you want to be?
I wish I was The Rock. <sep> What kind of rock would you want to be?,The actor The Rock.
wish I was The Rock. <sep> What kind of rock would you want to be? <sep> The actor The Rock.,So a dwayne rock.
My son was prett slow to start speaking.,/Did you get him a teacher?
My son was prett slow to start speaking. <sep> /Did you get him a teacher?,I took him to get evaluatd and we are waiting for a spot to open at school. I practiced at home with him non stop though and now he won't shut up. I'm so proud of him
I practiced at home with him non stop though and now he won't shut up. I'm so proud of him,I would be proud of him also.
though and now he won't shut up. I'm so proud of him <sep> I would be proud of him also.,I knew he could do it. Moms always overreact.
I was surprised when Trump won the election.,You? I thought I was dreaming
I was surprised when Trump won the election. <sep> You? I thought I was dreaming,Yes_comma_ Big upset.
I was surprised when Trump won the election. <sep> You? I thought I was dreaming <sep> Yes_comma_ Big upset.,Well_comma_ no use crying over silled milk I say.
I recently lost my job_comma_ and am having trouble finding another one. ,I feel your pain_comma_ that happened to me a few years ago_comma_ I ended up having to settle on a job I didn't like just to make ends meet.
few years ago_comma_ I ended up having to settle on a job I didn't like just to make ends meet.,Its a scary situation to be in but like you I almost pretty much applying to anything out there! 
Its a scary situation to be in but like you I almost pretty much applying to anything out there! ,I hope you find a job_comma_ good luck!
Hi_comma_ how are you?,I'm doing pretty alright_comma_ what about you?
Hi_comma_ how are you? <sep> I'm doing pretty alright_comma_ what about you?,I have been better_comma_ I just am kind of annoyed with lying.  Does lying annoy you also/
you? <sep> I have been better_comma_ I just am kind of annoyed with lying.  Does lying annoy you also/,Absolutely_comma_ it is one of my biggest pet peeves_comma_ especially when people accuse me of lying too.
you also/ <sep> Absolutely_comma_ it is one of my biggest pet peeves_comma_ especially when people accuse me of lying too.,"Yea_comma_ its the worst.  Especially when someone lies to you and you forgive them_comma_ but that little bit of anxiety is always in you thinking ""what if they are lying now again?""."
of her friends and she talked to him with so much more energy and passion than she does with me.,I really wish I could NOT correlate to that.  But I can.  Me and my girlfriend are going through a weird time right now where she likes to tell me how hot other guys right to my face.  It is a terrible feeling_comma_ and I know exactly what you are talking about.  If it occurs a lot more I suggest you saying something about it_comma_ better to know the truth than dwell on it everytime.
a lot more I suggest you saying something about it_comma_ better to know the truth than dwell on it everytime.,That's so terrible to hear about. Do girls not understand that men also want to be valued over some random guys that they meet or even just see on the street? It's crazy to me that they are so rude sometimes.
that they meet or even just see on the street? It's crazy to me that they are so rude sometimes.,"Yea_comma_ recently I have been trying to decide whether or not I want to mute my girlfriend on social media or not_comma_ like not block her_comma_ just mute her.  Because it bothers me how she acts single on social media_comma_ and it confuses me as to whether she wants to be with me_comma_ or is just trying to live a different personality online.  Because she talks to me and is all lovey-dovey_comma_ then gets on social media and talks like ""I don't need anyone"" and talks about how hot guys are.  And it leaves me so stuck and with the worst anxiety."
I was prepared for my History test due to studying.,Was your history test hard even after all the studying?
was prepared for my History test due to studying. <sep> Was your history test hard even after all the studying?,Yes but I was prepared.
due to studying. <sep> Was your history test hard even after all the studying? <sep> Yes but I was prepared.,That's good_comma_ did you end up passing then?
are gonna go hang out sometime on Sunday! It just makes me really happy to think that we are reconnecting.,Thats great. Where did you meet?
Sunday! It just makes me really happy to think that we are reconnecting. <sep> Thats great. Where did you meet?,We met yesterday at this restaurant and just had some good conversation_comma_ ate some food_comma_ and caught up with each other's lives.
yesterday at this restaurant and just had some good conversation_comma_ ate some food_comma_ and caught up with each other's lives.,What did you eat?
just had some good conversation_comma_ ate some food_comma_ and caught up with each other's lives. <sep> What did you eat?,Some garlic bread_comma_ some hot wings_comma_ and a few slices of pizza.
I can't believe the Falcons blew the Super Bowl. I was there.,Oh you were? I really am not a huge sports fan_comma_ so what was so big about this?
there. <sep> Oh you were? I really am not a huge sports fan_comma_ so what was so big about this?,It had never happened before.
really am not a huge sports fan_comma_ so what was so big about this? <sep> It had never happened before.,Never once? Damn_comma_ no wonder you were so shocked by it!
I love football_comma_ are you ready for the season?,Yes_comma_ when does the season start?
I love football_comma_ are you ready for the season? <sep> Yes_comma_ when does the season start?,August_comma_ Can't wait.
I love football_comma_ are you ready for the season? <sep> Yes_comma_ when does the season start? <sep> August_comma_ Can't wait.,That's exciting_comma_ who's your favorite team?
I was apprehensive to get married.,Do you regret it now that you are?
I was apprehensive to get married. <sep> Do you regret it now that you are?,No_comma_ but I am still worried.
apprehensive to get married. <sep> Do you regret it now that you are? <sep> No_comma_ but I am still worried.,Why are you worried still?
I let Daisy my cat out the other evening and she didn't come back home.,oh no. How long has she been gone.
cat out the other evening and she didn't come back home. <sep> oh no. How long has she been gone.,two days. I live by a road _comma_ so I'm afraid she'll go in that direction.
she been gone. <sep> two days. I live by a road _comma_ so I'm afraid she'll go in that direction.,I hope not. My friends cat left for two weeks once. she came back hungry_comma_ but she was fine.
<sep> I hope not. My friends cat left for two weeks once. she came back hungry_comma_ but she was fine.,I've seen a lot of animals killed on the highways. Its so sad. 
hungry_comma_ but she was fine. <sep> I've seen a lot of animals killed on the highways. Its so sad. ,well I hope your cat returns safely.
a lot of animals killed on the highways. Its so sad.  <sep> well I hope your cat returns safely.,thanks _comma_ nice chatting with you 
Its so sad.  <sep> well I hope your cat returns safely. <sep> thanks _comma_ nice chatting with you ,you too
my apartment is terrible.,Can you do any work to it. I know there are a lot ideas on pinterest to perk up a place.
you do any work to it. I know there are a lot ideas on pinterest to perk up a place.,We aren't supposed to_comma_ but I did anyway. Got to make the best out it.
perk up a place. <sep> We aren't supposed to_comma_ but I did anyway. Got to make the best out it.,Keep on the lookout and talk to realtors. They usually hear of good places first
know it seems late_comma_ but I'm 19 and I went on my first date only about one month ago. ,How was it?
but I'm 19 and I went on my first date only about one month ago.  <sep> How was it?,Beforehand I was really nervous that I was gonna mess it up and make things awkward. Contrary to that it really wasn't too bad!
nervous that I was gonna mess it up and make things awkward. Contrary to that it really wasn't too bad!,Thats great. Where did you go.
up and make things awkward. Contrary to that it really wasn't too bad! <sep> Thats great. Where did you go.,This Italian restaurant and an escape room too.
I am scared of how I will die.,I worry about that too occasionally_comma_ but I just push it to the back of my mind like usual.
<sep> I worry about that too occasionally_comma_ but I just push it to the back of my mind like usual.,I hope mine isn't painful.
occasionally_comma_ but I just push it to the back of my mind like usual. <sep> I hope mine isn't painful.,I'm sure it won't be_comma_ most people die of old age around their friends and family in a peaceful way so just hope for that.
I love hockey_comma_ are you ready for the season?,I am_comma_ I like the Oilers_comma_ who's your favorite team?
I love hockey_comma_ are you ready for the season? <sep> I am_comma_ I like the Oilers_comma_ who's your favorite team?,I love the Leafs.
ready for the season? <sep> I am_comma_ I like the Oilers_comma_ who's your favorite team? <sep> I love the Leafs.,Nice_comma_ I hope they do well this season.
